OWNER,OBJECT_NAME,TABLE_STATUS,ESTIMATED_ROW_COUNT,INGESTION_PK_COLUMNS,INGESTION_DATE_COLUMNS,POTENTIAL_PARTITION_COLS,INGESTION_TYPE
"BANINST1","AS_ACADEMIC_HISTORY_DETAIL","EXISTS",null,null,null,null,"full_load"
"BANINST1","AS_ACADEMIC_HISTORY_SUMMARY","EXISTS",null,null,null,null,"full_load"
"BANINST1","AS_ADIRONDACK_NOHOUSING","EXISTS",null,null,null,null,"full_load"
"BANINST1","AS_ADMISSIONS_APPLICANT","EXISTS",null,null,null,null,"full_load"
"BANINST1","AS_AGING_ANALYSIS","EXISTS",null,null,null,null,"full_load"
"BANINST1","AS_CATALOG_SCHEDULE","EXISTS",null,null,null,"COURSE_EFF_TERM_CODE,COURSE_EFF_TERM_DESC","column_incremental"
"BANINST1","AS_CLEARED_TO_ATTEND","EXISTS",null,null,null,"BALANCE_OTHER_TERMS","column_incremental"
"BANINST1","AS_FACULTY_DATA","EXISTS",null,null,null,null,"full_load"
"BANINST1","AS_FSAATLAS_DATA","EXISTS",null,null,null,"ACADEMICTERM,DATETERMINATED","column_incremental"
"BANINST1","AS_RECRUITING_DATA","EXISTS",null,null,null,"ENROLLED_THIS_TERM_IND","column_incremental"
"BANINST1","AS_RECRUITING_SOURCE_ANALYSIS","EXISTS",null,null,null,"ENROLLED_THIS_TERM_IND","column_incremental"
"BANINST1","AS_RESIDENTIAL_LIFE","EXISTS",null,null,null,"MEAL_TOTAL_TERMS,ROOM_TOTAL_TERMS","column_incremental"
"BANINST1","AS_RESIDENTIAL_LIFE_CHANGES","EXISTS",null,null,null,"MEAL_TOTAL_TERMS,P_MEAL_TERM_CODE,P_MEAL_TERM_DESC,P_MEAL_TOTAL_TERMS,P_PHONE_TERM_CODE,P_PHONE_TERM_DESC,P_ROOM_TERM_CODE,P_ROOM_TERM_DESC,P_ROOM_TOTAL_TERMS,ROOM_TOTAL_TERMS","column_incremental"
"BANINST1","AS_SEVISLINK_DATA","EXISTS",null,null,null,"ACADEMICTERM,DATETERMINATED","column_incremental"
"BANINST1","AS_STUDENT_DATA","EXISTS",null,null,null,"ASTD_CODE_END_OF_TERM,ASTD_DESC_END_OF_TERM","column_incremental"
"BANINST1","AS_STUDENT_ENROLLMENT_SUMMARY","EXISTS",null,null,null,"ASTD_CODE_END_OF_TERM,ASTD_DATE_END_OF_TERM,ASTD_DESC_END_OF_TERM","column_incremental"
"BANINST1","AS_STUDENT_REGISTRATION_DETAIL","EXISTS",null,null,null,"ASTD_CODE_END_OF_TERM,ASTD_DATE_END_OF_TERM,ASTD_DESC_END_OF_TERM,FINAL_GRADE_TERM_CODE_EFF,GRDE_CODE_MID_TERM","column_incremental"
"BANINST1","AS_THIRD_PARTY_CONTRACTS","EXISTS",null,null,null,null,"full_load"
"BANINST1","AT_APPLICATION_OF_PAYMENTS_CHG","EXISTS",null,null,null,"CHARGE_TERM_CODE,CHARGE_TERM_DESC,PAYMENT_TERM_CODE_KEY,PAYMENT_TERM_DESC","column_incremental"
"BANINST1","AT_APPLICATION_OF_PAYMENTS_PAY","EXISTS",null,null,null,"CHARGE_TERM_CODE,CHARGE_TERM_DESC,PAYMENT_TERM_CODE_KEY,PAYMENT_TERM_DESC","column_incremental"
"BANINST1","AT_AR_BALANCE_BY_ENTITY","EXISTS",null,null,null,null,"full_load"
"BANINST1","AT_AR_HISTORY_BY_BALANCE","EXISTS",null,null,null,null,"full_load"
"BANINST1","AT_AR_HISTORY_BY_TERM","EXISTS",null,null,null,null,"full_load"
"BANINST1","AT_DEPOSITS","EXISTS",null,null,"DEPOSIT_ACTIVITY_DATE","DEPOSIT_TERM_CODE_KEY","column_incremental"
"BANINST1","AT_INSTALLMENTS","EXISTS",null,null,null,null,"full_load"
